epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1.64635,1.0727,3.72941,1.21715,0.00604,0.35,0.02534,0.01662,0.66477,3.67906,0.96017,0,0,0
2,2.1763,1.01776,3.6085,1.26772,0.00613,0.35,0.02662,0.01703,0.66293,3.67968,0.96053,9.802e-06,9.802e-06,9.802e-06
3,2.78323,0.93752,3.76498,1.14839,0.00627,0.35,0.02468,0.01621,0.66503,3.67427,0.96556,1.9208e-05,1.9208e-05,1.9208e-05
4,3.18425,1.00885,3.76713,1.22878,0.00631,0.35,0.02928,0.02137,0.66814,3.67455,0.96771,2.8218e-05,2.8218e-05,2.8218e-05
5,3.64308,1.06225,3.74393,1.22252,0.00634,0.35,0.02892,0.02107,0.62454,3.67548,0.94812,3.6832e-05,3.6832e-05,3.6832e-05
6,4.21001,0.90233,3.69838,1.16889,0.00607,0.35,0.03116,0.02391,0.56537,3.68205,0.93713,4.505e-05,4.505e-05,4.505e-05
7,4.78674,0.85859,3.5979,1.15498,0.00577,0.31667,0.03655,0.02691,0.5656,3.68439,0.93055,5.2872e-05,5.2872e-05,5.2872e-05
8,5.36496,0.79437,3.57885,1.10759,0.00589,0.31667,0.03205,0.02325,0.56226,3.67556,0.92876,6.0298e-05,6.0298e-05,6.0298e-05
9,5.90511,0.84858,3.66207,1.14334,0.00601,0.31667,0.03723,0.02548,0.61824,3.68957,0.95516,6.7328e-05,6.7328e-05,6.7328e-05
10,6.49251,0.79795,3.57096,1.07924,0.00588,0.28333,0.05542,0.03692,0.62956,3.72198,0.9526,7.3962e-05,7.3962e-05,7.3962e-05
11,7.13879,0.72139,3.48889,1.03741,0.00597,0.28333,0.08296,0.06375,0.67656,3.72226,0.97497,8.02e-05,8.02e-05,8.02e-05
12,7.74034,0.68768,3.3275,1.04023,0.00629,0.28333,0.09722,0.06678,0.72588,3.72799,0.9946,8.6042e-05,8.6042e-05,8.6042e-05
13,8.39407,0.66711,3.3002,1.03461,0.00653,0.28333,0.12493,0.09184,0.73549,3.72569,0.99664,9.1488e-05,9.1488e-05,9.1488e-05
14,9.08458,0.68634,3.23466,1.01983,0.00733,0.31667,0.18705,0.14989,0.72645,3.71074,0.98424,9.6538e-05,9.6538e-05,9.6538e-05
15,9.83215,0.79287,3.08564,1.08493,0.0078,0.31667,0.22053,0.17532,0.6715,3.68824,0.95559,0.000101192,0.000101192,0.000101192
16,10.5308,0.67816,3.04179,0.99499,0.00807,0.31667,0.23829,0.19297,0.65143,3.65049,0.94734,0.00010545,0.00010545,0.00010545
17,11.0865,0.6708,2.97855,0.99149,0.00953,0.34444,0.25172,0.20241,0.62866,3.59027,0.93114,0.000109312,0.000109312,0.000109312
18,11.7709,0.64345,2.83281,1.01036,0.00953,0.34444,0.25172,0.20241,0.62866,3.59027,0.93114,0.000112778,0.000112778,0.000112778
19,12.3959,0.66876,2.96876,1.01118,0.01146,0.38611,0.30013,0.23792,0.61477,3.52415,0.90921,0.000115848,0.000115848,0.000115848
20,12.9074,0.68459,2.84683,0.981,0.01146,0.38611,0.30013,0.23792,0.61477,3.52415,0.90921,0.000118522,0.000118522,0.000118522
21,13.5546,0.63975,2.7515,1.02475,0.01248,0.41944,0.30913,0.25509,0.62168,3.45053,0.91115,0.0001208,0.0001208,0.0001208
22,14.0682,0.63052,2.68251,1.00532,0.01248,0.41944,0.30913,0.25509,0.62168,3.45053,0.91115,0.000122682,0.000122682,0.000122682
23,14.7255,0.61124,2.67036,0.95145,0.01314,0.41944,0.32797,0.26709,0.61559,3.37431,0.90483,0.000124168,0.000124168,0.000124168
24,15.2554,0.69891,2.36079,1.04785,0.01314,0.41944,0.32797,0.26709,0.61559,3.37431,0.90483,0.000125258,0.000125258,0.000125258
25,15.8062,0.60858,2.45644,0.971,0.01603,0.44722,0.33631,0.27452,0.64332,3.29314,0.9129,0.000125952,0.000125952,0.000125952
26,16.3254,0.61961,2.26193,0.94722,0.01603,0.44722,0.33631,0.27452,0.64332,3.29314,0.9129,0.00012625,0.00012625,0.00012625
27,16.8134,0.65471,2.3238,0.96908,0.01809,0.53056,0.35198,0.28921,0.66809,3.18087,0.91054,0.000126152,0.000126152,0.000126152
28,17.2925,0.63977,2.04057,0.98363,0.01809,0.53056,0.35198,0.28921,0.66809,3.18087,0.91054,0.000125658,0.000125658,0.000125658
29,17.8765,0.63263,2.18902,0.96869,0.02148,0.59167,0.40344,0.33896,0.669,3.07786,0.89595,0.000124768,0.000124768,0.000124768
30,18.4355,0.60815,2.25473,0.96997,0.02148,0.59167,0.40344,0.33896,0.669,3.07786,0.89595,0.000123482,0.000123482,0.000123482
31,19.0563,0.64267,2.14761,0.93153,0.99748,0.16667,0.42879,0.36526,0.65401,2.97014,0.89115,0.0001218,0.0001218,0.0001218
32,19.5698,0.62101,1.9195,0.97495,0.99748,0.16667,0.42879,0.36526,0.65401,2.97014,0.89115,0.000119722,0.000119722,0.000119722
33,20.0968,0.58681,2.04967,0.94557,1,0.09693,0.4585,0.38572,0.65915,2.88747,0.8975,0.000117248,0.000117248,0.000117248
34,20.5867,0.6213,1.94122,0.98192,1,0.09693,0.4585,0.38572,0.65915,2.88747,0.8975,0.000114378,0.000114378,0.000114378
35,21.1538,0.59046,1.77011,0.91946,1,0.10937,0.49205,0.41047,0.6721,2.81225,0.90451,0.000111112,0.000111112,0.000111112
36,21.6982,0.62561,1.95257,1.00751,1,0.10937,0.49205,0.41047,0.6721,2.81225,0.90451,0.00010745,0.00010745,0.00010745
37,22.44,0.59595,1.6886,0.97026,1,0.11995,0.50889,0.42346,0.66174,2.76079,0.90691,0.000103392,0.000103392,0.000103392
38,22.931,0.55156,1.71862,0.94568,1,0.11995,0.50889,0.42346,0.66174,2.76079,0.90691,9.8938e-05,9.8938e-05,9.8938e-05
39,23.4453,0.63264,1.93572,0.99956,1,0.12251,0.5054,0.42076,0.65259,2.71564,0.91443,9.4088e-05,9.4088e-05,9.4088e-05
40,23.9169,0.46079,1.77866,0.9406,1,0.12251,0.5054,0.42076,0.65259,2.71564,0.91443,8.8842e-05,8.8842e-05,8.8842e-05
41,24.991,0.43474,1.23144,0.86054,1,0.12405,0.51154,0.4285,0.60947,2.66086,0.88906,8.32e-05,8.32e-05,8.32e-05
42,25.4952,0.46533,1.55257,0.89737,1,0.12405,0.51154,0.4285,0.60947,2.66086,0.88906,7.7162e-05,7.7162e-05,7.7162e-05
43,26.2314,0.46968,1.43436,0.90362,1,0.12833,0.53272,0.44985,0.60063,2.58415,0.90104,7.0728e-05,7.0728e-05,7.0728e-05
44,26.775,0.42617,1.37064,0.88029,1,0.12833,0.53272,0.44985,0.60063,2.58415,0.90104,6.3898e-05,6.3898e-05,6.3898e-05
45,27.3935,0.46178,1.36137,0.89447,1,0.1812,0.55172,0.47594,0.57264,2.52682,0.89071,5.6672e-05,5.6672e-05,5.6672e-05
46,27.8826,0.43382,1.19551,0.83831,1,0.1812,0.55172,0.47594,0.57264,2.52682,0.89071,4.905e-05,4.905e-05,4.905e-05
47,28.5459,0.41545,1.29395,0.86463,0.98582,0.23515,0.56388,0.49753,0.55279,2.4785,0.88135,4.1032e-05,4.1032e-05,4.1032e-05
48,29.0754,0.45384,1.39194,0.93321,0.98582,0.23515,0.56388,0.49753,0.55279,2.4785,0.88135,3.2618e-05,3.2618e-05,3.2618e-05
49,29.5969,0.47769,1.35006,0.92273,0.97824,0.28085,0.57944,0.51232,0.54178,2.42288,0.8753,2.3808e-05,2.3808e-05,2.3808e-05
50,30.1867,0.4285,1.29562,0.89349,0.97824,0.28085,0.57944,0.51232,0.54178,2.42288,0.8753,1.4602e-05,1.4602e-05,1.4602e-05
